standardLat,scope,score,eastScaleErrorPct.p50,eastScaleErrorPct.p95,eastScaleErrorPct.max,shapeDistortionPct.p50,shapeDistortionPct.p95,shapeDistortionPct.max,screenNorthErrorDeg.p95,geoAxisHorizontalShare.p95,widthTiles,heightTiles
47.75,western-russia,21.84370415,26.88098977,58.24987773,62.87890266,26.88098977,58.24987773,62.87890266,0,0,,
48,emea,17.23574672,20.10440762,45.96199125,57.76762364,23.5493731,45.96199125,57.76762364,0,0,1009,1137
48,iberia,7.57049806,13.28288124,17.66219555,18.09918422,15.31748452,21.45089448,22.09890591,0,0,,
48,british-isles,12.90261915,16.65936115,34.40698441,36.79036825,16.65936115,34.40698441,36.79036825,0,0,,
48,scandinavia,22.19303261,33.82612127,59.1814203,62.6918523,33.82612127,59.1814203,62.6918523,0,0,,
48,central-europe,5.33687618,5.67646612,14.23166982,15.83585871,5.67646612,14.23166982,15.83585871,0,0,,
48,mediterranean,9.7047852,15.08610723,21.81962053,22.43599342,17.76635923,27.90933055,28.92577937,0,0,,
48,middle-east,13.25100476,21.93698875,28.04737316,28.55188288,28.10164302,38.98033246,39.96170093,0,0,,
48,western-russia,21.55807411,26.27029276,57.48819762,62.09494237,26.27029276,57.48819762,62.09494237,0,0,,
48.25,emea,16.9699792,19.52124485,45.25327788,57.00158844,24.15218973,45.25327788,57.00158844,0,0,1004,1137
48.25,iberia,7.76861606,13.70393319,18.06198389,18.49685078,15.88013648,22.04347231,22.69464549,0,0,,
48.25,british-isles,12.65789099,16.09292569,33.75437598,36.12618738,16.09292569,33.75437598,36.12618738,0,0,,
48.25,scandinavia,21.90319517,33.1763332,58.40852046,61.90190768,33.1763332,58.40852046,61.90190768,0,0,,
48.25,central-europe,5.12888322,5.8301117,13.67702193,15.27342174,6.19105725,13.67702193,15.27342174,0,0,,
48.25,mediterranean,9.90825785,15.49840368,22.19922264,22.81260275,18.34095964,28.53342009,29.55482833,0,0,,
48.25,middle-east,13.46420187,22.31602099,28.39673663,28.89879673,28.72667089,39.65843915,40.64459587,0,0,,
48.25,western-russia,21.27131968,25.65719175,56.72351916,61.30789602,25.65719175,56.72351916,61.30789602,0,0,,
48.5,emea,16.70317466,19.84822758,44.5417991,56.23256415,24.76330464,44.5417991,56.23256415,0,0,999,1137
48.5,iberia,7.96896839,14.12662809,18.46333222,18.89606904,16.45053383,22.64420747,23.29858592,0,0,,
48.5,british-isles,12.4122079,15.52427998,33.09922106,35.45941486,15.52427998,33.09922106,35.45941486,0,0,,
48.5,scandinavia,21.61222678,32.52400964,57.63260474,61.10888068,32.52400964,57.63260474,61.10888068,0,0,,
48.5,central-europe,4.92007867,5.94509298,13.12020979,14.70879012,5.94509298,13.12020979,14.70879012,0,0,,
48.5,mediterranean,10.11406343,15.91230891,22.58030596,23.19068162,18.9234699,29.16610075,30.19253667,0,0,,
48.5,middle-east,13.67990305,22.69653221,28.74746333,29.24706424,29.36030279,40.34588054,41.33689142,0,0,,
48.5,western-russia,20.98344634,25.04169841,55.95585691,60.5177786,25.04169841,55.95585691,60.5177786,0,0,,
48.75,emea,16.43533817,20.244285,43.82756846,55.46056542,25.38286441,43.82756846,55.46056542,0,0,994,1137
48.75,iberia,8.17159012,14.5509579,18.86623288,19.2968314,17.02881337,23.25324406,23.91087208,0,0,,
48.75,british-isles,12.16557454,14.95343485,32.44153212,34.79006339,14.95343485,32.44153212,34.79006339,0,0,,
48.75,scandinavia,21.32013298,31.86916302,56.85368793,60.31278639,31.86916302,56.85368793,60.31278639,0,0,,
48.75,central-europe,4.7104665,5.81036945,12.561244,14.14197461,6.16879949,12.561244,14.14197461,0,0,,
48.75,mediterranean,10.32223898,16.32781506,22.96286325,23.57022283,19.51402975,29.80752429,30.83905737,0,0,,
48.75,middle-east,13.89814871,23.07851518,29.09954657,29.59667878,30.00269071,41.04282154,42.03875366,0,0,,
48.75,western-russia,20.69445956,24.42382446,55.18522549,59.72460516,24.42382446,55.18522549,59.72460516,0,0,,
49,emea,16.16647483,20.64186086,43.11059954,54.68560695,24.96919931,43.11059954,54.68560695,0,0,989,1137
49,iberia,8.37651721,14.97691454,19.27067821,19.69913024,17.6151153,23.87072973,24.53165239,0,0,,
49,british-isles,11.91799563,14.38040118,31.78132168,34.11814572,14.38040118,31.78132168,34.11814572,0,0,,
49,scandinavia,21.02691932,31.2118058,56.07178486,59.51363998,31.2118058,56.07178486,59.51363998,0,0,,
49,central-europe,4.5000507,6.22299005,12.00013521,13.572986,6.22299005,12.00013521,13.572986,0,0,,
49,mediterranean,10.53282245,16.7449142,23.34688721,23.95121915,20.11278235,30.45784621,31.49454716,0,0,,
49,middle-east,14.11898023,23.46196262,29.45297965,29.9476337,30.65399039,41.7494311,42.75035274,0,0,,
49,western-russia,20.40436483,23.80358165,54.41163956,58.92839078,23.80358165,54.41163956,58.92839078,0,0,,
49.25,emea,16.03113105,21.04094758,42.390906,53.90770348,24.34073765,42.92907119,53.90770348,0,0,984,1137
49.25,iberia,8.58378652,15.40448989,19.67666052,20.10295789,18.20958331,24.4968158,25.161079,0,0,,
49.25,british-isles,11.66947587,13.80518987,31.11860232,33.44367463,13.80518987,31.11860232,33.44367463,0,0,,
49.25,scandinavia,20.7325914,30.55195049,55.28691039,58.71145667,30.55195049,55.28691039,58.71145667,0,0,,
49.25,central-europe,4.30907772,5.78800288,11.4368941,13.00183513,6.1435943,11.51786385,13.00183513,0,0,,
49.25,mediterranean,10.74585279,17.16359841,23.73237053,24.33366333,20.71987445,31.11722588,32.15916668,0,0,,
49.25,middle-east,14.34244008,23.84686724,29.80775585,30.29992232,31.31436144,42.4658824,43.47186305,0,0,,
49.25,western-russia,20.1131677,23.18098181,53.63511386,58.12915065,23.18098181,53.63511386,58.12915065,0,0,,
49.5,emea,16.1230386,21.44153756,41.66850155,53.12686984,23.88947535,43.65790361,53.12686984,0,0,979,1137
49.5,iberia,8.79343585,15.83367582,20.08417206,20.50830666,18.81236465,25.13165737,25.79930782,0,0,,
49.5,british-isles,11.42001999,13.22781188,30.45338665,32.76666296,13.22781188,30.45338665,32.76666296,0,0,,
